name,subgenus,manualEditMLEE,removedSubSpec,removeSubGenus,genusforremovedsub,resolvedName
Hoplitis albifrons albifrons,,,Hoplitis albifrons,,,Hoplitis albifrons
"Tetraloniella (Tetraloniella) cacuminis LaBerge, 2001",,Tetraloniella cacuminis,,,,Tetraloniella cacuminis
Hoplitis truncata mescalerium,,,Hoplitis truncata,,,Hoplitis truncata
Perdita albipennis albipennis,,,Perdita albipennis,,,Perdita albipennis
Perdita trisignata trisignata,,,Perdita trisignata,,,Perdita trisignata
Conanthalictus new,,,,,,
Lasioglossum atlanticum,,Lasioglossum atlanticum,,,,Lasioglossum atlanticum
Bombus pyrenaeus,,Bombus pyrenaeus,,,,Bombus pyrenaeus
Bombus atratus,,Bombus pauloensis,,,,Bombus pauloensis
Trachusa jugatorium,,,,,,
Tetragonula carbonaria group,,Tetragonula carbonaria,,,,Tetragonula carbonaria
Svastra petulca petulca suffusa intergrades,,Svastra petulca,,,,Svastra petulca
Svastra obilqua obliqua expurgata intermediates,,Svastra obilqua,,,,Svastra obilqua
Protandrena labrosus,,Protandrena labrosus,,,,Protandrena labrosus
Protandrena albitarsus,,Protandrena albitarsus,,,,Protandrena albitarsus
Protandrena aestrivalis,,Protandrena aestrivalis,,,,Protandrena aestrivalis
Nomada pyrsocoma,,Nomada pyrsocoma,,,,Nomada pyrsocoma
Melipona beechei,,Melipona beecheii,,,,Melipona beecheii
Megachile melanophoea rohweri,,Megachile melanophoea,,,,Megachile melanophoea
Megachile agrestis,,Megachile agrestis,,,,Megachile agrestis
Leioproctus arnaui,,Leioproctus arnaui,,,,Leioproctus arnaui
Leioproctus filamentosa,,Leioproctus filamentosa,,,,Leioproctus filamentosa
Chalicodoma sinuta,,Chalicodoma sinuta,,,,Chalicodoma sinuta
Chalicodoma campanulae campanulae,,Chalicodoma campanulae,,,,Chalicodoma campanulae
Bombus cardui,,Bombus cardui,,,,Bombus cardui
Andrena aethiops,,Andrena aethiops,,,,Andrena aethiops
Andrena scurra x capricornis x arabis,,Andrena scurra,,,,Andrena scurra
Amegilla perasserta,,Amegilla perasserta,,,,Amegilla perasserta
Eucera gabbii,,Eucera gabbii,,,,Eucera gabbii
