"","x"
"768","Chalepogenus rozeni"
"769","Chamaecrista fasciculata"
"770","Chamaecrista nictitans"
"771","Chamaedaphne calyculata"
"772","Chamaenerion angustifolium"
"773","Chamerion angustifolium"
"774","Chapmannia floridana"
"775","Chelone glabra"
"776","Chelostoma californicum"
"777","Chelostoma campanularum"
"778","Chelostoma cockerelli"
"779","Chelostoma florisomne"
"780","Chelostoma incisulum"
"781","Chelostoma philadelphi"
"782","Chelostoma rapunculi"
"783","Chenopodium album"
"784","Chilimalopsis impressifrons"
"785","Chimaphila maculata"
"786","Chimaphila umbellata"
"787","Chlorogalum pomeridianum"
"788","Chrysopsis highlandsensis"
"789","Cichorium intybus"
"790","Cicuta maculata"
"791","Circaea lutetiana"
"792","Cirsium altissimum"
"793","Cirsium arvense"
"794","Cirsium discolor"
"795","Cirsium horridulum"
"796","Cirsium muticum"
"797","Cirsium pitcheri"
"798","Cirsium pumilum"
"799","Cirsium vulgare"
"800","Cistus monspeliensis"
"801","Cistus salviifolius"
"802","Claytonia virginica"
"803","Clematis paniculata"
"804","Clematis pitcheri"
"805","Clematis virginiana"
"806","Clinopodium ashei"
"807","Clintonia borealis"
"808","Clitoria fragrans"
"809","Coccothrinax barbadensis"
"810","Coelioxys afra"
"811","Coelioxys alternata"
"812","Coelioxys alternatus"
"813","Coelioxys apacheorum"
"814","Coelioxys coturnix"
"815","Coelioxys dolichos"
"816","Coelioxys edentata"
"817","Coelioxys funeraria"
"818","Coelioxys germana"
"819","Coelioxys immaculata"
"820","Coelioxys mexicana"
"821","Coelioxys modesta"
"822","Coelioxys modestus"
"823","Coelioxys moesta"
"824","Coelioxys natalensis"
"825","Coelioxys obtusiventris"
"826","Coelioxys octodentata"
"827","Coelioxys octodentatus"
"828","Coelioxys rufitarsis"
"829","Coelioxys sayi"
"830","Coelioxys sodalis"
"831","Coelioxys texana"
"832","Colletes aberrans"
"833","Colletes aestivalis"
"834","Colletes albescens"
"835","Colletes americanus"
"836","Colletes angelicus"
"837","Colletes araucariae"
"838","Colletes banksi"
"839","Colletes brevicornis"
"840","Colletes brimleyi"
"841","Colletes compactus"
"842","Colletes cunicularius"
"843","Colletes cyanescens"
"844","Colletes cyaneus"
"845","Colletes daleae"
