Checklist names,Synonyms from DL,Notes
Ashmeadiella cubiceps,"Heriades cubiceps; Titusella clypeata; Ashmeadiella (Ashmeadiella) cubiceps clypeata, valid subspecies",
Ashmeadiella opuntiae,Heriades opuntiae; Ashmeadiella submaxima; Ashmeadiella arizonensis ,
Ashmeadiella timberlakei,"Ashmeadiella (Arogochila) timberlakei solida, valid subspecies",
Ashmeadiella xenomastax,,None
Atoposmia copelandica albomarginata,"Osmia copelandica; Osmia besseyae; Osmia albomarginata; Osmia arefacta; valid subspecies; Atoposmia (Hexosmia) copelandica arefacta, valid subspecies;  Atoposmia copelandica",
Coelioxys octodentata,"Coelioxys brevis_homonym; Coelioxys altilis, replacement name; Coelioxys cressoni, unnecessary replacement name; Coelioxys coquilletti; Coelioxys megatricha; Coelioxys crassula; Coelioxys mediata; Coelioxys catalinica; Coelioxys atlantica; Coelioxys (Boreocoelioxys) octodentata ",
Dioxys productus cismontanicus,"Phileremus productus; Hoplopasites productus; Phileremus productus var subruber; Dioxys producta; Dioxys productus subruber, valid subspecies; Dioxys producta subrubra; Dioxys martii; Dioxys productus",
Megachile angelarum,Chalicodoma (Chelostomoides) angelarum,
Megachile apicalis,Megachile mixta; Megachile dimidiativentris; Megachile massiliensis; Megachile virginiana ,
Megachile brevis,Megachile lanuginosa; Megachile nupta; Megachile perbrevis ,
Megachile coquilletti,Megachile mendica coquilletti,
Megachile fidelis,Megachile fidelis var concinnula ,
Megachile montivaga,Cyphopyga montivaga; Megachile (Sayapis) helianthi ,
Megachile onobrychidis,Megachile onobrychidis; Megachile (Litomegachile) brevis onobrychidis,
Megachile rotundata,"Apis rotundata; Apis pacifica; Megachile imbecilla; Megachile pruinosa, possible synonym; Megachile nadia; Megachile (Neoeutricharaea) rotundata ",
Osmia albolateralis,"Osmia dubia_homonym; Osmia enena, doubtful synonym; Osmia visenda; Osmia albolateralis visenda; Osmia (Nothosmia) albolateralis ; Osmia (Monilosmia) albolateralis; Osmia (Melanosmia) albolateralis visenda, valid subspecies",
Osmia austromaritima,Osmia (Nothosmia) austromaritima; Osmia (Centrosmia) austromaritima; Osmia (Acanthosmioides) hurdi ,
