"Family","Genus","Species","scientificName","Current Name Full","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes","resolvedPlantNames","New.Genus","New.Species"
"Asteraceae","Encelia","californica","Encelia californica","Encelia californica Nutt.","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA,"Encelia californica","Encelia","californica"
"Asteraceae","Erigeron","bonariensis","Erigeron bonariensis","Erigeron bonariensis L.","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,"Erigeron bonariensis","Erigeron","bonariensis"
"Asteraceae","Erigeron","canadensis","Erigeron canadensis","Erigeron canadensis L.","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA,"Erigeron canadensis","Erigeron","canadensis"
"Asteraceae","Erigeron","foliosus","Erigeron foliosus var. foliosus","Erigeron foliosus Nutt. var. foliosus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,"calflora without subspp","Erigeron foliosus","Erigeron","foliosus"
"Asteraceae","Erigeron","glaucus","Erigeron glaucus","Erigeron glaucus Ker Gawl.","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,NA,"Erigeron glaucus","Erigeron","glaucus"
"Asteraceae","Erigeron","sanctarum","Erigeron sanctarum","Erigeron sanctarum S. Watson",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no sanctarum","Erigeron sanctarum","Erigeron","sanctarum"
"Asteraceae","Erigeron","sumatrensis","Erigeron sumatrensis","Erigeron sumatrensis Retz.","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA,"Erigeron sumatrensis","Erigeron","sumatrensis"
"Asteraceae","Glebionis","coronaria","Glebionis coronaria","Glebionis coronaria (L.) Spach","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA,"Glebionis coronaria","Glebionis","coronaria"
"Asteraceae","Helianthus","annuus","Helianthus annuus","Helianthus annuus L.","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,"Helianthus annuus","Helianthus","annuus"
"Asteraceae","Helminthotheca","echioides","Helminthotheca echioides","Helminthotheca echioides (L.) Holub","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,"Helminthotheca echioides","Helminthotheca","echioides"
