"","sp.names"
"764","Bombus nevadensis"
"765","Bombus pascuorum"
"766","Bombus pensylvanicus"
"767","Bombus perplexus"
"768","Bombus ruderatus"
"769","Bombus rufocinctus"
"770","Bombus sandersoni"
"771","Bombus sonorus"
"772","Bombus ternarius"
"773","Bombus terrestris"
"774","Bombus terricola"
"775","Bombus vagans"
"776","Bombus vandykei"
"777","Bombus variabilis"
"778","Bombus vosnesenskii"
"779","Bonellia bissei"
"780","Borago officinalis"
"781","Borrichia arborescens"
"782","Borrichia frutescens"
"783","Boswellia sacra"
"784","Bougainvillea glabra"
"785","Brasenia schreberi"
"786","Brassica fruticulosa"
"787","Brassica juncea"
"788","Brassica napus"
"789","Brassica nigra"
"790","Brassica oleracea"
"791","Brassica rapa"
"792","Bravaisia integerrima"
"793","Brickellia eupatorioides"
"794","Bridelia insulana"
"795","Brocchinia acuminata"
"796","Brodiaea elegans"
"797","Brodiaea insignis"
"798","Brodiaea terrestris"
"799","Brucea javanica"
"800","Bryonia dioica"
"801","Buddleja asiatica"
"802","Buddleja cordata"
"803","Buddleja davidii"
"804","Buddleja globosa"
"805","Buddleja salviifolia"
"806","Bulbine frutescens"
"807","Bulbinella floribunda"
"808","Bulbinella hookeri"
"809","Bulbinella nutans"
"810","Bursaria spinosa"
"811","Bursera microphylla"
"812","Butomus umbellatus"
"813","Buxus microphylla"
"814","Buxus sempervirens"
"815","Byrsonima crassifolia"
"816","Caesalpinia decapetala"
"817","Caesalpinia gilliesii"
"818","Caesalpinia mexicana"
"819","Caesalpinia pulcherrima"
"820","Cajanus cajan"
"821","Cakile edentula"
"822","Cakile maritima"
"823","Calandrinia breweri"
"824","Calandrinia menziesii"
"825","Calantica cerasifolia"
"826","Calendula arvensis"
"827","Calendula officinalis"
"828","Calicorema capitata"
"829","Callaeum macropterum"
"830","Calliandra eriophylla"
"831","Callicarpa americana"
"832","Calliopsis andreniformis"
"833","Calliopsis coloradensis"
"834","Calliopsis nebraskensis"
"835","Calliopsis verbenae"
"836","Callirhoe bushii"
"837","Callirhoe digitata"
"838","Callirhoe involucrata"
"839","Callirhoe leiocarpa"
"840","Callisia micrantha"
"841","Callisia ornata"
"842","Callistemon citrinus"
"843","Callistephus chinensis"
"844","Calluna vulgaris"
"845","Calochortus albus"
"846","Calochortus ambiguus"
"847","Calochortus argillosus"
"848","Calochortus aureus"
"849","Calochortus barbatus"
"850","Calochortus catalinae"
"851","Calochortus flexuosus"
"852","Calochortus gunnisonii"
"853","Calochortus leichtlinii"
"854","Calochortus luteus"
"855","Calochortus macrocarpus"
"856","Calochortus nuttallii"
"857","Calochortus obispoensis"
"858","Calochortus splendens"
"859","Calochortus weedii"
"860","Calopogon tuberosus"
"861","Calopogonium mucunoides"
"862","Calotropis procera"
"863","Calpurnia aurea"
"864","Calpurnia glabrata"
"865","Caltha palustris"
"866","Calycadenia truncata"
"867","Calydorea campestris"
"868","Calylophus serrulatus"
"869","Calypso bulbosa"
"870","Calyptocarpus vialis"
"871","Calyptridium monospermum"
"872","Calystegia macrostegia"
"873","Calystegia occidentalis"
"874","Calystegia purpurata"
"875","Calystegia sepium"
"876","Calystegia soldanella"
"877","Calystegia subacaulis"
"878","Camassia leichtlinii"
"879","Camassia quamash"
"880","Camassia scilloides"
"881","Camelina sativa"
"882","Camellia japonica"
"883","Camellia sasanqua"
"884","Camellia sinensis"
"885","Camissonia crassifolia"
"886","Camissonia ovata"
"887","Camissoniopsis bistorta"
"888","Camissoniopsis cheiranthifolia"
"889","Campanula americana"
"890","Campanula medium"
"891","Campanula persicifolia"
"892","Campanula prenanthoides"
"893","Campanula rapunculoides"
"894","Campanula rotundifolia"
"895","Campanulastrum americanum"
"896","Campovassouria cruciata"
"897","Campsis radicans"
"898","Campuloclinium macrocephalum"
"899","Campuloclinium megacephalum"
"900","Campylospermum deltoideum"
"901","Campylospermum obtusifolium"
"902","Canadanthus modestus"
"903","Canavalia cathartica"
"904","Canavalia rosea"
"905","Canavalia septentrionalis"
"906","Canna iridiflora"
"907","Cantinoa mutabilis"
"908","Capparis sandwichiana"
"909","Capraria biflora"
"910","Capsella bursa-pastoris"
"911","Capsicum annuum"
"912","Cardamine angustata"
"913","Cardamine bulbosa"
"914","Cardamine concatenata"
"915","Cardamine diphylla"
"916","Cardamine hirsuta"
"917","Cardamine nuttallii"
"918","Cardamine regeliana"
"919","Cardiochlamys madagascariensis"
"920","Cardiospermum corindum"
"921","Carduus acanthoides"
"922","Carduus defloratus"
"923","Carduus nutans"
"924","Carduus occidentalis"
"925","Carduus pycnocephalus"
"926","Carduus tenuiflorus"
"927","Carica papaya"
"928","Carlina acaulis"
"929","Carlina salicifolia"
"930","Carpenteria californica"
"931","Carpesium divaricatum"
"932","Carphephorus corymbosus"
"933","Carphephorus odoratissimus"
"934","Carpobrotus chilensis"
"935","Carpobrotus edulis"
"936","Carpobrotus glaucescens"
"937","Carpodetus serratus"
"938","Carya floridana"
"939","Caryopteris clandonensis"
"940","Caryopteris divaricata"
"941","Caryopteris incana × mongholica"
"942","Casimiroa edulis"
"943","Cassia fistula"
"944","Cassia javanica"
"945","Cassiope tetragona"
"946","Castanea crenata"
"947","Castanea sativa"
"948","Castilleja affinis"
"949","Castilleja ambigua"
"950","Castilleja arachnoidea"
"951","Castilleja attenuata"
"952","Castilleja coccinea"
"953","Castilleja densiflora"
"954","Castilleja exserta"
"955","Castilleja flava"
"956","Castilleja foliolosa"
"957","Castilleja hispida"
"958","Castilleja levisecta"
"959","Castilleja linariifolia"
"960","Castilleja miniata"
"961","Castilleja occidentalis"
"962","Castilleja pallida"
"963","Castilleja pulchella"
"964","Castilleja sessiliflora"
"965","Castilleja sulphurea"
"966","Catalpa speciosa"
"967","Catasetum barbatum"
"968","Catasetum discolor"
"969","Catasetum longifolium"
"970","Catasetum macrocarpum"
"971","Caulophyllum thalictroides"
"972","Cayratia japonica"
"973","Ceanothus americanus"
"974","Ceanothus arboreus"
"975","Ceanothus arcuatus"
"976","Ceanothus cordulatus"
"977","Ceanothus crassifolius"
"978","Ceanothus cuneatus"
"979","Ceanothus dentatus"
"980","Ceanothus herbaceus"
"981","Ceanothus integerrimus"
"982","Ceanothus jepsonii"
"983","Ceanothus megacarpus"
"984","Ceanothus papillosus"
"985","Ceanothus parvifolius"
"986","Ceanothus roderickii"
"987","Ceanothus thyrsiflorus"
"988","Ceanothus velutinus"
