"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"82","Halictus rubicundus","Apis rubicunda","Halictus nidulans","Halictus lerouxii","Halictus quadrifasciatus","Halictus lerouxii ","Halictus rubicundus ","Halictus rubicundus ","Halictus lupinelli","Halictus (Protohalictus) frater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","Halictus seladonius","Apis seladonia","Halictus geminatus","Seladonia (Seladonia) seladonia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","Halictus tripartitus","Halictus meliloti","Halictus catalinensis","Halictus (Seladonia) tripartitus","Seladonia (Pachyceble) tripartita","Halictus (Pachyceble) tripartitus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","Lasioglossum albohirtum","Halictus (Chloralictus) albohirtus","Dialictus albohirtus","Halictus pilosellus","Dialictus pilosellus","Lasioglossum (Dialictus) pilosellum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","Lasioglossum argemonis","Halictus arcuatus race argemonis","Halictus latifrons","Evylaeus argemonis","Lasioglossum (Evylaeus) argemonis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","Lasioglossum avalonense","Halictus avalonensis","Evylaeus avalonensis","Lasioglossum (Evylaeus) avalonense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","Lasioglossum brunneiventre","Halictus (Chloralictus) brunneiventris","Dialictus brunneiventris","Halictus (Chloralictus) pilosicaudus","Dialictus pilosicaudus","Lasioglossum (Dialictus) pilosicaudum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","Lasioglossum cabrilli","Halictus (Chloralictus) cabrilli","Dialictus cabrilli","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","Lasioglossum californiae","Halictus perpunctatus ","Dialictus californiae","Lasioglossum (Dialictus) californiae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","Lasioglossum channelense","Lasioglossum (Lasioglossum) channelense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
